Document name,Code,Begin,End
chris,Soldering\Solderer\Decision-Making\Success,00:03:23.2,00:03:24.0
chris,Soldering\Station\Off,00:03:32.9,00:03:40.1
cesar,Soldering\Hands\Reconfigure,00:00:00.1,00:00:08.7
cesar,Soldering\Board\Reposition,00:00:08.8,00:00:10.9
cesar,Soldering\Component\Reposition,00:00:11.0,00:00:18.7
cesar,Soldering\Board\Secure,00:00:18.8,00:00:28.3
cesar,Soldering\Solder\Unwind,00:00:32.5,00:00:36.1
cesar,Soldering\Solderer\Error,00:00:36.2,00:00:40.3
cesar,Soldering\Iron\Solder Joint\Tack,00:00:40.3,00:00:50.5
cesar,Soldering\Iron\Solder Joint\Tack,00:00:50.6,00:00:59.6
cesar,Soldering\Station\Clean\Sponge,00:00:59.6,00:01:01.1
cesar,Soldering\Station\Store,00:01:01.0,00:01:01.2
cesar,Soldering\Hands\Inspect,00:01:01.2,00:01:02.7
cesar,Soldering\Hands\Reconfigure,00:01:02.8,00:01:04.5
cesar,Soldering\Board\Secure,00:01:04.6,00:01:11.0
cesar,Soldering\Solder\Unwind,00:01:11.0,00:01:12.8
cesar,Soldering\Iron\Grab,00:01:13.8,00:01:15.1
cesar,Soldering\Iron\Solder Joint\Joint,00:01:15.2,00:01:19.9
cesar,Soldering\Station\Clean\Sponge,00:01:20.0,00:01:21.9
cesar,Soldering\Station\Store,00:01:22.0,00:01:23.0
cesar,Soldering\Iron\Grab,00:01:27.0,00:01:28.8
cesar,Soldering\Iron\Solder Joint\RythmicJoint,00:01:28.9,00:01:48.5
cesar,Soldering\Station\Clean\Sponge,00:01:48.6,00:01:50.5
cesar,Soldering\Iron\Solder Joint\RythmicJoint,00:01:50.6,00:01:58.7
cesar,Soldering\Station\Clean\Sponge,00:01:58.7,00:02:00.3
cesar,Soldering\Iron\Solder Joint\RythmicJoint,00:02:00.4,00:02:09.0
cesar,Soldering\Station\Clean\Sponge,00:02:09.1,00:02:11.1
cesar,Soldering\Iron\Solder Joint\RythmicJoint,00:02:09.1,00:02:31.3
cesar,Soldering\Iron\Retouch,00:02:31.3,00:02:34.3
cesar,Soldering\Iron\Retouch,00:02:34.4,00:02:43.9
cesar,Soldering\Hands\Inspect,00:02:44.0,00:02:45.2
cesar,Soldering\Iron\Retouch,00:02:45.3,00:02:46.4
cesar,Soldering\Station\Clean\Sponge,00:02:48.3,00:02:49.2
cesar,Soldering\Station\Clean\Steel Wool,00:02:49.2,00:02:50.8
cesar,Soldering\Station\Store,00:02:50.9,00:02:52.8
cesar,Soldering\Solderer\Cleanup,00:02:52.9,00:03:03.8
molly,Soldering\Solderer\Decision-Making,00:00:00.1,00:00:16.0
molly,Soldering\Solderer\Decision-Making\Inspect,00:00:00.1,00:00:16.0
molly,Soldering\Solderer\Acquire Materials,00:00:16.0,00:00:33.7
molly,Soldering\Hands\Reposition,00:00:33.7,00:00:40.0
molly,Soldering\Hands\Reposition,00:00:40.1,00:01:06.9
molly,Soldering\Solderer\Decision-Making\Probe,00:01:06.9,00:01:09.2
molly,Soldering\Board\Reposition,00:01:06.9,00:01:09.2
molly,Soldering\Hands\Reposition,00:01:09.3,00:01:13.7
molly,Soldering\Board\Reposition,00:01:13.9,00:01:18.8
molly,Soldering\Hands\Secure,00:01:18.9,00:01:23.6
molly,Soldering\Hands\Reposition,00:01:23.6,00:01:32.0
molly,Soldering\Iron\Grab,00:01:32.0,00:01:33.1
molly,Soldering\Station\Store,00:01:33.2,00:01:34.8
molly,Soldering\Solder\Reposition,00:01:34.7,00:01:36.0
molly,Soldering\Station\Reposition,00:01:36.1,00:01:41.8
molly,Soldering\Solder\Unwind,00:01:41.9,00:01:46.3
molly,Soldering\Solderer\Decision-Making,00:01:46.2,00:01:55.5
molly,Soldering\Iron\Grab,00:01:55.5,00:01:58.4
molly,Soldering\Station\Clean\Sponge,00:01:58.5,00:01:59.0
molly,Soldering\Solder\Tin,00:01:59.0,00:02:07.6
molly,Soldering\Station\Error,00:02:04.2,00:02:07.7
molly,Soldering\Station\Recovery,00:02:07.7,00:02:08.4
